CustomerID,Age,Gender,State,City_Tier,Tenure_Months,Plan_Type,Contract_Type,Voice_Service,Internet_Service,SMS_Pack,OTT_Subscriptions,Music_Streaming,Caller_Tune,Data_Rollover,Paperless_Billing,Payment_Method,Monthly_Charges_INR,Total_Charges_INR,Num_Support_Calls,App_Usage_Minutes,Avg_Monthly_GB_Usage,Avg_Monthly_Call_Minutes,Network_Quality,Satisfaction_Score,Churned
CUST_00001,41,Male,Tamil Nadu,Tier 1,27,Postpaid,Monthly Bill,Yes,No Internet,Yes,None,JioSaavn,No,Yes,No,UPI,559.51,14435.23,1,13.0,0.0,201.0,1,2,1
CUST_00002,33,Male,Karnataka,Tier 1,1,Prepaid,Monthly Recharge,Yes,4G,No,Prime Video,Gaana,Yes,Yes,Yes,Credit Card,860.56,435.04,5,26.0,26.2,487.0,3,4,1
CUST_00003,43,Male,Punjab,Tier 2,1,Prepaid,Annual Recharge,Yes,5G,Yes,None,JioSaavn,Yes,No,No,Net Banking,866.79,1367.78,2,18.0,70.8,718.0,4,1,1
CUST_00004,54,Male,Uttar Pradesh,Tier 2,18,Postpaid,Monthly Bill,Yes,4G,Yes,Disney+ Hotstar,Spotify,No,Yes,Yes,UPI,1177.43,22512.24,3,36.0,8.8,70.0,3,4,0
CUST_00005,31,Male,Tamil Nadu,Tier 1,5,Prepaid,Annual Recharge,Yes,No Internet,No,None,None,No,No,Yes,UPI,195.65,1708.03,2,13.0,0.0,502.0,3,5,0
CUST_00006,31,Female,Karnataka,Tier 2,24,Postpaid,Monthly Bill,Yes,5G,No,Prime Video,Spotify,No,No,No,Credit Card,1166.42,27815.49,1,138.0,35.3,70.0,5,5,0
CUST_00007,55,Female,Tamil Nadu,Tier 3,19,Postpaid,Monthly Bill,Yes,4G,Yes,None,Gaana,No,Yes,No,UPI,861.07,16568.48,1,59.0,3.8,577.0,4,2,0
CUST_00008,44,Female,Punjab,Tier 2,21,Prepaid,Quarterly Recharge,Yes,4G,No,Netflix,Gaana,No,Yes,Yes,Net Banking,891.63,18723.43,2,30.0,5.3,335.0,5,4,0
CUST_00009,28,Male,Tamil Nadu,Tier 1,8,Prepaid,Monthly Recharge,Yes,4G,Yes,Disney+ Hotstar,JioSaavn,No,No,Yes,Net Banking,1018.85,8079.29,2,28.0,127.7,289.0,3,1,0
CUST_00010,42,Male,Bihar,Tier 2,24,Prepaid,Monthly Recharge,Yes,5G,No,Prime Video,None,No,No,No,UPI,1031.59,24813.0,2,22.0,58.1,302.0,2,4,1
CUST_00011,28,Male,Haryana,Tier 2,42,Prepaid,Monthly Recharge,Yes,No Internet,No,Prime Video,Gaana,No,Yes,Yes,Debit Card,498.11,21059.21,2,56.0,0.0,205.0,3,4,0
CUST_00012,28,Female,Karnataka,Tier 1,72,Postpaid,Monthly Bill,Yes,5G,Yes,None,Gaana,No,No,Yes,UPI,1149.96,81924.02,1,61.0,4.7,20.0,2,4,0
CUST_00013,38,Female,Karnataka,Tier 2,43,Postpaid,Monthly Bill,Yes,5G,No,None,Gaana,No,No,Yes,Debit Card,1141.91,48792.5,1,382.0,18.7,322.0,3,3,0
CUST_00014,18,Female,Punjab,Tier 1,19,Prepaid,Quarterly Recharge,Yes,5G,No,None,JioSaavn,No,Yes,No,UPI,904.9,17171.84,3,79.0,229.5,9.0,4,4,0
